group	label	ns	tau	cov	rc	pr	f
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.760	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.770	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.780	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.790	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.800	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.810	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.820	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.830	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.840	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.850	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.860	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.870	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.880	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.890	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.900	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.910	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.920	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.930	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.940	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.950	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.960	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.970	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.980	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	cellular_component	0.990	0.455	0.149	0.921	0.256
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.010	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.020	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.030	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.040	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.050	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.060	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.070	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.080	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.090	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.100	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.110	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.120	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.130	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.140	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.150	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.160	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.170	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.180	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.190	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.200	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.210	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.220	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.230	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.240	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.250	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.260	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.270	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.280	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.290	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.300	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.310	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.320	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.330	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.340	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.350	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.360	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.370	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.380	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.390	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.400	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.410	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.420	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.430	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.440	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.450	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.460	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.470	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.480	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.490	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.500	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.510	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.520	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.530	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.540	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.550	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.560	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.570	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.580	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.590	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.600	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.610	0.912	0.516	0.770	0.618
ipr_submission.tsv	ipr_submission.tsv	molecular_function	0.620	0.912	0.516	0.770	0.618
