filename	ns	tau	cov	pr	rc	f
ipr_submission.tsv	molecular_function	0.66000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.67000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.68000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.69000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.70000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.71000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.72000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.73000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.74000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.75000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.76000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.77000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.78000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.79000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.80000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.81000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.82000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.83000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.84000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.85000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.86000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.87000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.88000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.89000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.90000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.91000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.92000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.93000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.94000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.95000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.96000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.97000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.98000	0.91200	0.77046	0.51614	0.61816
ipr_submission.tsv	molecular_function	0.99000	0.91200	0.77046	0.51614	0.61816
